regex,approximation,iter_length,distance
(l*l)*l*,l**,2,6
k*|s***,s***,3,4
Q*(Q|Q**Q)*Q*,Q***,3,10
C**,C**,2,1
H*|g**,g**,2,4
(V*f**)*,f***,3,5
nY*|(s*|kS**)*,S***,3,11
(K*|K*|K**)**,K****,4,9
(v|v*)**,v***,3,5
(ij*)*|t*,j**,2,7
s*((l|B*)oF*)*,B**,2,12
(T*A*)**,T***,3,5
(R*(o|l)(i*|g)*h*h)*,i***,3,17
(ii*i*)**Bf,i***,3,8
YL(U*(cD)*)*,U**,2,10
((P*dz*)**p*)*,P****,4,10
z(q*|k*O**|HL*)**,O****,4,13
q(b*D)*(D*|d)*,b**,2,12
(r(k(u*d*)*)*O)*Z,u****,4,13
o(r***(H*j*|D*))*,r****,4,13
(C***r*)**,C*****,5,5
QJ*|q|(M(un)*|B)*|C,u**,2,17
Q***|(Y*Fu)*,Q***,3,9
(C*|L*(Q*s|x)*)**,Q****,4,13
(o*|I|dC)**L*|F,o***,3,12
p*|u*|(O|dc**)*,c***,3,12
((n*xZ*j*)*m|r*)*,n***,3,14
YN(l**|u*)a(Hc|E*)|l,l**,2,18
((wN*O*d)**|l)*X,N****,4,12
C(W*(Q*(Q*j*|N))*)*,Q***,3,16
(C|J**)**J*,J****,4,7
c(h*(nbW*G)*)*B**,W***,3,14
(i(t|((n|V|N)I|w*)*)|P*)*,w***,3,22
(Ty*z*I((dE)*|K*X*))*,y**,2,19
W*|(eU|o**M)*Z,o***,3,11
r(T((CU*)*mt*)*H*)**,U*****,5,15
((L*L)*(w**Q)*|r*w*Z*)*X*,w****,4,21
g(Bp(X((Ac)*g)*j(W*X*)*x)*)*,A****,4,24
(r(V*|I*d*))*,V**,2,11
(M*b)*,M**,2,4
q***,q***,3,1
r**O*,r**,2,3
y**,y**,2,1
S***,S***,3,1
v**,v**,2,1
Q**,Q**,2,1
H**,H**,2,1
f*GD*V*,f*,1,6
X**,X**,2,1
I(f|f)*,f*,1,6
G**,G**,2,1
P**,P**,2,1
X**,X**,2,1
t**,t**,2,1
a|(aa**a|aa*)*,a***,3,11
l**,l**,2,1
o****,o****,4,1
E**,E**,2,1
(Sa*)****,a*****,5,4
F**,F**,2,1
T*p|(A|A**)*|A,A***,3,11
J**,J**,2,1
G**,G**,2,1
(NU|DZ)***S,N***,3,8
E***,E***,3,1
(c*|v*)*,c**,2,6
Q*D**,D**,2,3
(Oj*)*,j**,2,4
(I*n*)*,I**,2,5
M*N***,N***,3,3
(I*K*)*m,I**,2,6
e***|X*,e***,3,4
X|(C*|S*)*,C**,2,8
(XD*)*FuC,D**,2,7
B*(S|E*)*|m,E**,2,9
Jd***,d***,3,2
x*h(Q*|P)*,Q**,2,8
(Y*|m*)*,Y**,2,6
((f*k|r**P**)*|M)*,r****,4,14
(KP)*i***|T|S*,i***,3,11
